# r  f_numerical(r)  f_exact(r)=r*exp(-r)
0.001 0.000999 0.000999000499833
0.00105187229339 0.00105076586211 0.00105076643978
0.00110204040818 0.00110082593112 0.00110082658408
0.00115115098763 0.0011498258748 0.00114982660146
0.00119959645483 0.0011981574866 0.00119815828595
0.00124761865112 0.00124606219799 0.00124606306941
0.00129536818547 0.00129369034999 0.00129369129307
0.00134293956187 0.00134113627117 0.00134113728564
0.00139039244317 0.00138845950966 0.00138846059535
0.00143776471466 0.00143569787585 0.00143569903262
0.00148508058679 0.0014828755315 0.00148287675928
0.00153235565415 0.00153000803972 0.00153000933845
0.00157960006511 0.00157710552874 0.00157710689836
0.0016268205136 0.00162417467968 0.00162417612017
0.00167402149525 0.00167121998025 0.00167122149157
0.0017212060984 0.00171824451396 0.00171824609609
0.00176837650537 0.00176525046035 0.00176525211327
0.00181553430847 0.00181223941031 0.00181224113398
0.00186268071274 0.00185921256823 0.00185921436266
0.00190981666325 0.00190617087913 0.00190617274428
0.00195694292815 0.0019531151114 0.00195311704726
0.00200406015152 0.00200004590959 0.00200004791615
0.00205116888774 0.00204696382867 0.00204696590592
0.00209826962481 0.00209386935731 0.00209387150523
0.00214536279954 0.002140762933 0.00214076515157
0.00219244880746 0.00218764495198 0.0021876472412
0.00223952801061 0.00223451577703 0.00223451813687
0.00228660074308 0.00228137574289 0.00228137817336
0.00233366731437 0.0023282251598 0.00232822766088
0.00238072801225 0.00237506431619 0.00237506688786
0.00242778310565 0.00242189348164 0.00242189612389
0.00247483284639 0.00246871290862 0.00246871562144
0.0025218774709 0.0025155228342 0.00251552561759
0.00256891720159 0.00256232348137 0.00256232633532
0.00261595224724 0.00260911505954 0.00260911798403
0.00266298280522 0.00265589776664 0.00265590076167
0.0027100090618 0.00270267178951 0.00270267485506
0.00275703119309 0.00274943730481 0.00274944044087
0.0028040493657 0.00279619447967 0.00279619768624
0.00285106373754 0.00284294347256 0.00284294674963
0.00289807445818 0.00288968443353 0.00288968778109
0.00294508167019 0.00293641750566 0.00293642092371
0.00299208550827 0.00298314282415 0.00298314631267
0.00303908610064 0.00302986051769 0.00302986407667
0.00308608356978 0.00307657070923 0.00307657433867
0.00313307803209 0.00312327351562 0.00312327721551
0.00318006959862 0.00316996904838 0.00316997281871
0.00322705837528 0.00321665741383 0.0032166612546
0.00327404446296 0.00326333871333 0.00326334262452
0.00332102795858 0.00331001304419 0.0033100170258
0.00336800895433 0.00335668049903 0.00335668455106
0.00341498753843 0.00340334116649 0.00340334528893
0.0034619637958 0.00344999513187 0.00344999932471
0.00350893780731 0.00349664247645 0.00349664673968
0.00355590965049 0.00354328327815 0.00354328761176
0.00360287939992 0.00358991761193 0.00358992201591
0.0036498471273 0.00363654554985 0.00363655002421
0.00369681290102 0.00368316716069 0.00368317170541
0.00374377678708 0.00372978251079 0.00372978712587
0.00379073884887 0.00377639166392 0.00377639634935
0.00383769914757 0.00382299468162 0.0038229994374
0.00388465774194 0.00386959162298 0.0038695964491
0.0039316146881 0.00391618254446 0.00391618744091
0.00397857004071 0.00396276750108 0.00396277246786
0.00402552385224 0.00400934654562 0.00400935158272
0.00407247617325 0.004055919729 0.00405592483641
0.00411942705224 0.00410248710002 0.00410249227774
0.0041663765365 0.00414904870629 0.00414905395431
0.00421332467132 0.00419560459344 0.00419560991176
0.00426027150092 0.00424215480598 0.00424216019459
0.0043072170676 0.00428869938654 0.00428870484544
